county,direction,local_site_name
Klamath,North,Crater Lake NP
Klamath,North,Crater Lake National Park - Maintenance Bldg (CLM)
Klamath,North,Crater Lake National Park - Crater Lake Rim (CLR)
Klamath,South,Klamath Falls - Peterson Elementary School (KFP)
Klamath,South,Klamath Falls - Hope St
Klamath,South,Klamath Falls - Lower Klamath NWR (KFB)
Klamath,South,Chiloquin - Duke Drive (CDD)
Clackamas,West,Milwaukie - SE Washington St & 25th Ave
Clackamas,West,Carus - Spangler Road (SPR)
Clackamas,West,Estacada - Clackamas River Elementary (ECR)
Clackamas,West,Gladstone - Gladstone High School (GHS)
Clackamas,East,Government Camp - Multorpor/Ski Bowl (MUL)
Douglas,West,Roseburg - Garden Valley Rd (RGV)
Douglas,West,Riddle - Riddle High School
Douglas,West,Roseburg - Douglas County Fire Dept #2 (RFD)
Douglas,West,Green - Green Elementary School (GES)
Douglas,West,Roseburg - Roseburg High School (RWH)
Douglas,East,Glide - Rural Fire Protection District Office
Lane,West,Eugene - Amazon Park (AMZ)
Lane,West,Springfield - Lane County Youth Farm (SYF)
Lane,West,Eugene - Highway 99 (E99)
Lane,East,Oakridge - Willamette Activity Center (WAC)
Lane,West,Eugene - Petersen Park (EPB)
Lane,West,Eugene - Lane Community College
Lane,West,Eugene - Sacred Heart Hospital
Lane,West,Saginaw - Delight Valley School Rd (SAG)
Lane,West,Springfield - City Hall (SCH)
Lane,West,Eugene - Wilkes Drive (EWD)
Lane,West,Florence - Oregon Dept of Forestry (FDF)
Lane,West,Cottage Grove - South 10th St
Lane,West,Eugene - Key Bank
Lane,West,Cottage Grove - City Shops (CGC)
Lane,East,Three Sisters Wilderness
Deschutes,North,Bend - NE 8th St & Emerson Ave (BEE)
Deschutes,North,Bend - NE 3rd St & Greenwood Ave
Deschutes,North,Bend - Deschutes County Road Dept (BRD)
Deschutes,North,Bend - Pine Nursery (BPN)
Deschutes,North,Bend - Pump Station (BPS)
Deschutes,North,Sisters - US Forest Service (SFS)
Deschutes,North,Redmond - Redmond High School (RHS)
Deschutes,South,La Pine - Rural Fire Protection District #103 (LFD)
Deschutes,North,Bend - Pine Ridge Elementary School (BPR)
Deschutes,South,Sunriver - Three Rivers School (SRE)
Deschutes,North,Bend - Ponderosa Elementary School (BPE)
Lake,South,Lakeview - Center St & M St (LCM)
Curry,South,Brookings - Coos Forest Protective Association (BCF)
Josephine,North,Grants Pass - Wing Building
Josephine,North,Grants Pass - Parkside Elementary School (GPP)
Josephine,South,Provolt - BLM Seed Orchard (PSO)
Josephine,South,Cave Junction - Illinois Valley Airport (IVA)
Josephine,South,Cave Junction - US Forest Service (CJFS)
Josephine,West,Cave Junction - Illinois Valley Airport (IVA)
Josephine,West,Cave Junction - US Forest Service (CJFS)
Crook,West,Prineville - Davidson Park (PDP)
Harney,North,Burns - Washington St (BWS)
Harney,North,Burns - Madison St & Cedar Ave (BMS)
Jackson,South,Medford - Welch St & Jackson St (MWJ)
Jackson,South,Medford - Jackson Park (MJP)
Jackson,South,Medford - Grant Ave & Belmont St (MGB)
Jackson,North,White City - Dodge Road
Jackson,South,Medford - Rouge Valley Mall (RVM)
Jackson,South,Medford - Brophy Building (MBB)
Jackson,South,Talent - Rapp Lane (TAL)
Jackson,South,Medford - Rossanly Dr & Moss Ln (MTV)
Jackso,South,White City - Post Office (WPO)
Jackson,North,Shady Cove - Shady Cove Schools (SCS)
Jackson,South,Ashland - Fire Dept (AFD)
Malheur,North,Ontario - May Roberts Elementary School (OMR)
Grant,North,John Day - Blue Mountain School (JBM)
Grant,North,John Day - Dayton Street (JDD)
Grant,South,John Day - Blue Mountain School (JBM)
Grant,South,John Day - Dayton Street (JDD)
Jefferson,South,Madras - Westside Elementary School (MWS)
Jefferson,North,Family Resource Center
Jefferson,South,Madras - Bluff Street (MBS)
Umatilla,North,Hermiston - Municipal Airport (HMA)
Umatilla,North,47697 SHORTMILE ROAD
Umatilla,North,Pendleton - McKay Creek (PMC)
Umatilla,North,UMATILLA INDIAN RES. COMMUNITY CENTER - 73239 CONFEDERATED WAY
Umatilla,North,Hermiston - Pump Station
Umatilla,North,EESP Mission Field Station
Wasco,North,The Dalles - Wasco Library (TWL)
Wasco,North,The Dalles - Old Dufer Rd
Wasco,North,The Dalles - Clark Street
Wasco,North,The Dalles - Wasco County Planning
Wasco,North,The Dalles - Heka Park (THP)
Wasco,North,The Dalles - Cherry Heights Road (TDC)
