trv_key,cas_number,trv_cancer,trv_noncancer,trv_acute
50328,50-32-8,0.0017,0.002,0.002
7440417,7440-41-7,0.00042,0.007,0.02
7440439,7440-43-9,0.00056,0.01,0.03
7439921,7439-92-1,,0.15,0.15
7440020,7440-02-0,0.0038,0.014,0.2
7440382,7440-38-2,0.00023,0.015,0.2
7439965,7439-96-5,,0.09,0.3
18540299,18540-29-9,0.000083,0.2,0.3
7440473,7440-47-3,0.000083,0.2,0.3
7440360,7440-36-0,,0.3,1
7782492,7782-49-2,,,2
79016,79-01-6,0.24,2.1,2.1
107028,107-02-8,,0.35,6.9
71432,71-43-2,0.13,3,29
127184,127-18-4,3.8,41,41
50000,50-00-0,0.17,9,49
91203,91-20-3,0.029,3.7,200
75354,75-35-4,,200,200
107131,107-13-1,0.015,5,220
78875,78-87-5,,,230
100447,100-44-7,0.02,1,240
75070,75-07-0,0.45,140,470
67663,67-66-3,,300,490
106990,106-99-0,0.033,2,660
156605,156-60-5,,,790
74873,74-87-3,,,1000
75014,75-01-4,0.11,,1300
56235,56-23-5,0.17,100,1900
75092,75-09-2,100,600,2100
67630,67-63-0,,,3200
74839,74-83-9,,,3900
78933,78-93-3,,,5000
75150,75-15-0,,,6200
123911,123-91-1,0.2,30,7200
108883,108-88-3,,5000,7500
1634044,1634-04-4,3.8,8000,8000
95476,95-47-6,,,8700
108383,108-38-3,,,8700
71556,71-55-6,,5000,11000
106467,106-46-7,0.091,60,12000
100425,100-42-5,,1000,21000
100414,100-41-4,0.4,260,22000
75003,75-00-3,,,40000
67641,67-64-1,,31000,62000
7440484,7440-48-4,,0.1,
107062,107-06-2,0.038,7,
123386,123-38-6,,8,
106934,106-93-4,0.0017,9,
126998,126-99-8,0.0033,20,
95636,95-63-6,,60,
108678,108-67-8,,60,
75058,75-05-8,,60,
80626,80-62-6,,700,
108101,108-10-1,,3000,
53703,53-70-3,0.00017,,
75218,75-21-8,0.0002,,
205992,205-99-2,0.0021,,
56553,56-55-3,0.0083,,
218019,218-01-9,0.017,,
79345,79-34-5,0.017,,
206440,206-44-0,0.021,,
193395,193-39-5,0.024,,
87683,87-68-3,0.045,,
207089,207-08-9,0.056,,
79005,79-00-5,0.063,,
140885,140-88-5,0.071,,
191242,191-24-2,0.19,,
75343,75-34-3,0.63,,
75252,75-25-2,0.91,,
